year,censor,quality,author,paper,SCC,CDR,PRTP,Risk,EIS,Inequity,Impact,Function,T2100,Equity,Uncertainty,Hope,Nordhaus,Tol,Ploeg,Traeger,Tax,ID
1982,0.919531328,1,0.5,0.5,2397.056281,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,1
1982,1,1,0.5,0.5,342.4366116,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,1
1980,0.672843152,0.1,0.1,0.1,4858.260467,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1980,0.828666116,0.1,0.1,0.1,3303.617118,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1980,1,0.1,0.1,0.1,388.6608374,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1980,1,0.1,0.1,0.1,155.464335,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1980,1,0.1,0.1,0.1,388.6608374,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1980,1,0.1,0.1,0.1,388.6608374,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1980,1,0.1,0.1,0.1,1282.580763,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1980,1,0.1,0.1,0.1,233.1965024,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1980,1,0.1,0.1,0.1,388.6608374,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1980,0.883204154,0.1,0.1,0.1,2759.491945,NA,1,NA,3,NA,-3,exponential,NA,0,0,0,1,0,0,0,0,2
1991,1,1,1,1,605.8440898,3,NA,NA,3,NA,-1.5625,exponential,NA,0,0,0,0,0,0,0,0,3
1989,1,0.8,0.8,0.5,61.51647681,3,NA,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,4
1989,1,0.2,0.2,0.5,687.8660589,3,NA,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,4
1990,1,1,1,1,93.20678305,NA,1,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,5
1990,1,1,1,1,93.20678305,NA,1,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,6
1991,1,0.125,0.0625,0.111111111,1229.211055,NA,0,NA,3,NA,-0.173611111,1,NA,0,0,0,1,0,0,0,0,7
1991,1,0.25,0.125,0.111111111,614.6055275,NA,0,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,7
1991,1,0.125,0.0625,0.111111111,153.6047785,NA,0,NA,3,NA,-1.388888889,1,NA,0,0,0,1,0,0,0,0,7
1991,1,0.25,0.125,0.111111111,273.0958743,NA,1,NA,3,NA,-0.173611111,1,NA,0,0,0,1,0,0,0,0,7
1991,1,0.5,0.25,0.111111111,136.641144,NA,1,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,7
1991,1,0.25,0.125,0.111111111,34.1136826,NA,1,NA,3,NA,-1.388888889,1,NA,0,0,0,1,0,0,0,0,7
1991,1,0.125,0.0625,0.111111111,45.48491013,NA,4,NA,3,NA,-0.173611111,1,NA,0,0,0,1,0,0,0,0,7
1991,1,0.25,0.125,0.111111111,22.74245506,NA,4,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,7
1991,1,0.125,0.0625,0.111111111,5.778820549,NA,4,NA,3,NA,-1.388888889,1,NA,0,0,0,1,0,0,0,0,7
1991,1,1.333333333,0.666666667,0.5,136.0819033,NA,1,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,8
1991,1,0.666666667,0.333333333,0.5,1230.329536,NA,0,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,8
1991,1,2,1,1,93.20678305,NA,1,NA,3,NA,-0.694444444,1,NA,0,0,0,1,0,0,0,0,9
1992,1,4,1,1,23.00763543,NA,3,NA,1,NA,-0.923611111,2,3.4,0,0,0,1,0,0,0,0,10
1992,1,2,1,1,96.38000061,4,NA,NA,NA,NA,-0.537,exponential,NA,0,0,0,0,0,0,0,0,11
1992,1,3,1,1,329.952012,NA,NA,NA,1,NA,-0.923611111,2,3.4,0,0,0,0,0,0,0,0,12
1997,1,1,0.333333333,0.5,452.8316492,NA,0,NA,1,NA,-0.923611111,2,3.4,0,0,0,0,0,0,0,1,13
1997,1,2,0.666666667,0.5,168.4811098,NA,0.5,NA,1,NA,-0.923611111,2,3.4,0,0,0,0,0,0,0,1,13
1993,1,3,1,1,87.31283222,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,14
1992,0.353231739,1,0.5,0.5,8047.018668,0,NA,NA,NA,NA,-4,1,4.2,0,0,0,0,0,0,0,0,15
1992,0.766260432,1,0.5,0.5,3926.23768,0,NA,NA,NA,NA,-4,1,4.2,0,0,0,0,0,0,0,0,15
1993,1,0.5,0.25,0.333333333,9.594859793,4,NA,NA,NA,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,16
1993,1,1,0.5,0.333333333,15.45550388,4,NA,NA,NA,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,16
1993,1,0.5,0.25,0.333333333,45.53668593,4,NA,NA,NA,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,16
1992,1,2,1,1,86.45746635,4,NA,NA,NA,NA,NA,exponential,NA,0,0,0,0,0,0,0,0,17
1993,1,0.026785714,0.008928571,0.016666667,0.033943146,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,0.203658874,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.053571429,0.017857143,0.016666667,0.050914718,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.053571429,0.017857143,0.016666667,0.305488311,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.053571429,0.017857143,0.016666667,0.101829437,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.053571429,0.017857143,0.016666667,0.610976622,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,0.186687301,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,1.120123807,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,0.458232466,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,2.749394799,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,0.067886291,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,0.407317748,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.053571429,0.017857143,0.016666667,0.101829437,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.053571429,0.017857143,0.016666667,0.610976622,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.053571429,0.017857143,0.016666667,0.186687301,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.053571429,0.017857143,0.016666667,1.120123807,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,0.356403029,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,2.138418177,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,0.933436506,NA,0,0.5,0.5,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
1993,1,0.026785714,0.008928571,0.016666667,5.600619035,NA,0,3,3,NA,NA,exponential,NA,0,1,0,0,0,0,0,0,18
